2023-10-20 15:54:55,082 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Configure stats pid to 78437
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Loading settings from /Users/felixcohen/.config/wandb/settings
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Loading settings from /Users/felixcohen/PycharmProjects/pythonProject/wandb/settings
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/Users/felixcohen/PycharmProjects/pythonProject/main.py', 'program': '/Users/felixcohen/PycharmProjects/pythonProject/main.py'}
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_init.py:_log_setup():528] Logging user logs to /Users/felixcohen/PycharmProjects/pythonProject/wandb/run-20231020_155455-g0mq18na/logs/debug.log
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/felixcohen/PycharmProjects/pythonProject/wandb/run-20231020_155455-g0mq18na/logs/debug-internal.log
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_init.py:init():568] calling init triggers
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'epochs': 5, 'classes': 10, 'kernels': [6, 16], 'batch_size': 256, 'learning_rate': 0.01, 'dataset': 'MNIST', 'architecture': 'LeNet'}
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_init.py:init():618] starting backend
2023-10-20 15:54:55,083 INFO    MainThread:78437 [wandb_init.py:init():622] setting up manager
2023-10-20 15:54:55,084 INFO    MainThread:78437 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-20 15:54:55,157 INFO    MainThread:78437 [wandb_init.py:init():628] backend started and connected
2023-10-20 15:54:55,158 INFO    MainThread:78437 [wandb_init.py:init():720] updated telemetry
2023-10-20 15:54:55,162 INFO    MainThread:78437 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-20 15:54:55,611 INFO    MainThread:78437 [wandb_run.py:_on_init():2220] communicating current version
2023-10-20 15:54:55,718 INFO    MainThread:78437 [wandb_run.py:_on_init():2229] got version response 
2023-10-20 15:54:55,718 INFO    MainThread:78437 [wandb_init.py:init():804] starting run threads in backend
2023-10-20 15:54:55,753 INFO    MainThread:78437 [wandb_run.py:_console_start():2199] atexit reg
2023-10-20 15:54:55,754 INFO    MainThread:78437 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-20 15:54:55,754 INFO    MainThread:78437 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-20 15:54:55,754 INFO    MainThread:78437 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-20 15:54:55,754 INFO    MainThread:78437 [wandb_init.py:init():845] run started, returning control to user process
2023-10-20 15:54:57,017 INFO    MainThread:78437 [wandb_watch.py:watch():51] Watching
2023-10-20 15:56:12,728 INFO    MainThread:78437 [wandb_run.py:_finish():1934] finishing run felixcohen/LeNet-demo/g0mq18na
2023-10-20 15:56:12,728 INFO    MainThread:78437 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 1
2023-10-20 15:56:12,729 INFO    MainThread:78437 [wandb_run.py:_restore():2151] restore
2023-10-20 15:56:12,729 INFO    MainThread:78437 [wandb_run.py:_restore():2157] restore done
2023-10-20 15:56:17,837 INFO    MainThread:78437 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-20 15:56:17,842 INFO    MainThread:78437 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-20 15:56:17,847 INFO    MainThread:78437 [wandb_run.py:_footer_sync_info():3558] logging synced files
